CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
05/08/2022,2:35,,,40.608875,-74.14099,"(40.608875, -74.14099)",,,599       WOOLLEY AVENUE,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4525697,Station Wagon/Sport Utility Vehicle,Sedan,,,
05/08/2022,15:50,BROOKLYN,11223,40.598236,-73.96191,"(40.598236, -73.96191)",,,911       AVENUE U,0,0,0,0,0,0,0,0,Following Too Closely,Other Vehicular,,,,4526032,Bus,Station Wagon/Sport Utility Vehicle,,,
05/08/2022,4:05,BRONX,10458,0,0,"(0.0, 0.0)",VALENTINE AVENUE,EAST 183 STREET,,5,0,0,0,0,0,5,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Other Vehicular,Other Vehicular,,4526097,Sedan,Sedan,Taxi,Sedan,
05/08/2022,4:30,QUEENS,11370,40.757877,-73.8839,"(40.757877, -73.8839)",84 STREET,32 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,,,,4526410,Taxi,,,,
05/08/2022,2:34,BROOKLYN,11215,0,0,"(0.0, 0.0)",CARROLL STREET,8 AVENUE,,0,0,0,0,0,0,0,0,Cell Phone (hand-Held),Unspecified,Unspecified,,,4525732,Sedan,Sedan,Sedan,,
05/08/2022,16:00,QUEENS,11358,40.756397,-73.804535,"(40.756397, -73.804535)",162 STREET,45 AVENUE,,0,0,0,0,0,0,0,0,Other Vehicular,Unspecified,,,,4525844,Station Wagon/Sport Utility Vehicle,,,,
05/08/2022,15:00,,,0,0,"(0.0, 0.0)",LORING PLACE NORTH,,,0,0,0,0,0,0,0,0,Aggressive Driving/Road Rage,Unspecified,,,,4525985,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
05/08/2022,6:22,QUEENS,11361,40.76479,-73.772606,"(40.76479, -73.772606)",,,39-30     213 STREET,0,0,0,0,0,0,0,0,Unspecified,,,,,4526269,Sedan,,,,
05/08/2022,0:44,BROOKLYN,11225,40.666218,-73.95364,"(40.666218, -73.95364)",,,294       ROGERS AVENUE,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Unspecified,,,,4525881,Sedan,Sedan,,,
05/08/2022,12:00,QUEENS,11423,40.713497,-73.758255,"(40.713497, -73.758255)",201 STREET,JAMAICA AVENUE,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,4525932,Sedan,Station Wagon/Sport Utility Vehicle,,,
